Precinct,Classification,Total Votes,Harris Votes,Trump Votes,Trump Percentage
2352,rural,1082,325,757,69.96%
2048,urban,1184,554,630,53.21%
5513,urban,745,328,417,55.97%
1715,rural,849,245,604,71.14%
4505,urban,412,216,196,47.57%
3607,rural,480,231,249,51.88%
6044,urban,590,262,328,55.59%
3011,urban,687,242,445,64.77%
4581,urban,794,423,371,46.73%
3007,urban,611,304,307,50.25%
1631,urban,676,284,392,57.99%
1518,rural,907,295,612,67.48%
4501,urban,1043,532,511,48.99%
6520,rural,995,350,645,64.82%
2066,rural,106,15,91,85.85%
7611,rural,1364,390,974,71.41%
2740,urban,319,164,155,48.59%
5582,urban,269,160,109,40.52%
2430,urban,203,86,117,57.64%
1331,urban,523,242,281,53.73%
3013,urban,425,204,221,52.00%
2600,rural,1097,410,687,62.63%
1015,urban,816,335,481,58.95%
3758,urban,162,45,117,72.22%
3588,rural,1164,416,748,64.26%
5570,urban,521,258,263,50.48%
4543,urban,268,172,96,35.82%
1614,urban,493,187,306,62.07%
4019,urban,280,166,114,40.71%
2700,rural,691,269,422,61.07%
5586,urban,256,151,105,41.02%
4510,urban,117,71,46,39.32%
4547,urban,348,207,141,40.52%
2715,urban,720,352,368,51.11%
5412,urban,867,473,394,45.44%
2371,rural,390,159,231,59.23%
1669,urban,1008,390,618,61.31%
6725,urban,1123,439,684,60.91%
1001,urban,395,140,255,64.56%
7029,urban,650,236,414,63.69%
3016,urban,661,244,417,63.09%
1645,urban,579,294,285,49.22%
7055,urban,697,349,348,49.93%
5044,urban,192,81,111,57.81%
4461,urban,257,206,51,19.84%
7570,rural,537,163,374,69.65%
2051,rural,1025,359,666,64.98%
2087,urban,892,504,388,43.50%
3706,rural,1283,497,786,61.26%
6066,urban,721,314,407,56.45%
4040,urban,83,50,33,39.76%
5015,urban,164,103,61,37.20%
2710,urban,920,369,551,59.89%
2063,urban,224,119,105,46.88%
4030,urban,241,190,51,21.16%
7352,rural,1094,258,836,76.42%
2776,rural,622,92,530,85.21%
7025,urban,148,67,81,54.73%
6552,rural,344,101,243,70.64%
7502,urban,257,91,166,64.59%
5565,urban,411,224,187,45.50%
5554,urban,562,259,303,53.91%
5350,urban,679,424,255,37.56%
1008,urban,1050,466,584,55.62%
3055,rural,935,356,579,61.93%
4605,urban,185,113,72,38.92%
6685,urban,399,114,285,71.43%
6033,rural,467,219,248,53.10%
5533,urban,755,408,347,45.96%
5047,urban,382,135,247,64.66%
5572,urban,434,209,225,51.84%
3715,rural,977,226,751,76.87%
4020,urban,290,185,105,36.21%
5384,urban,455,273,182,40.00%
2662,rural,900,307,593,65.89%
3735,rural,31,9,22,70.97%
7032,urban,221,66,155,70.14%
3374,rural,1003,342,661,65.90%
5587,urban,652,350,302,46.32%
3000,urban,536,285,251,46.83%
2644,rural,1269,280,989,77.94%
3068,urban,340,186,154,45.29%
3037,urban,907,350,557,61.41%
5620,urban,491,235,256,52.14%
1702,urban,768,257,511,66.54%
3017,urban,990,419,571,57.68%
1643,urban,163,42,121,74.23%
4526,urban,560,434,126,22.50%
3364,rural,680,196,484,71.18%
7503,urban,96,51,45,46.88%
6648,urban,1063,447,616,57.95%
1302,urban,1297,573,724,55.82%
6735,urban,898,371,527,58.69%
6540,rural,996,447,549,55.12%
2033,urban,673,278,395,58.69%
2663,rural,1027,245,782,76.14%
6708,urban,723,281,442,61.13%
7723,urban,493,197,296,60.04%
1550,rural,374,107,267,71.39%
3863,urban,762,320,442,58.01%
2126,urban,539,227,312,57.88%
4404,urban,840,498,342,40.71%
6512,rural,747,184,563,75.37%
