Precinct,Classification,Total Votes,Harris Votes,Trump Votes,Trump Percentage
3435,urban,454,237,217,47.80%
3766,urban,285,133,152,53.33%
2372,rural,383,203,180,47.00%
3757,rural,141,42,99,70.21%
3717,rural,96,25,71,73.96%
3724,urban,498,244,254,51.00%
3732,urban,386,171,215,55.70%
5565,urban,368,199,169,45.92%
3007,urban,484,295,189,39.05%
3064,urban,21,4,17,80.95%
3057,urban,48,18,30,62.50%
2003,urban,156,83,73,46.79%
2710,urban,482,239,243,50.41%
3604,rural,464,227,237,51.08%
7522,urban,619,333,286,46.20%
2614,rural,498,221,277,55.62%
2645,rural,18,6,12,66.67%
2032,urban,174,101,73,41.95%
3217,urban,271,125,146,53.87%
3715,rural,190,53,137,72.11%
3719,urban,459,221,238,51.85%
6685,urban,193,80,113,58.55%
3058,urban,348,154,194,55.75%
3059,urban,425,193,232,54.59%
2067,rural,239,110,129,53.97%
3056,urban,24,3,21,87.50%
3709,rural,139,40,99,71.22%
3061,urban,147,99,48,32.65%
3417,urban,328,171,157,47.87%
3392,urban,191,65,126,65.97%
3587,rural,273,117,156,57.14%
6609,rural,482,203,279,57.88%
3747,urban,313,152,161,51.44%
3382,rural,175,69,106,60.57%
3588,rural,368,152,216,58.70%
3787,urban,202,95,107,52.97%
3780,urban,225,77,148,65.78%
3769,urban,149,67,82,55.03%
4633,urban,249,149,100,40.16%
2352,rural,283,111,172,60.78%
3464,urban,198,77,121,61.11%
3771,urban,139,67,72,51.80%
3071,urban,45,16,29,64.44%
6045,urban,380,153,227,59.74%
4423,urban,477,266,211,44.23%
2479,rural,419,194,225,53.70%
3418,rural,93,35,58,62.37%
2360,urban,383,231,152,39.69%
2073,rural,398,206,192,48.24%
3781,rural,351,141,210,59.83%
3607,rural,300,174,126,42.00%
3710,urban,85,40,45,52.94%
3037,urban,221,96,125,56.56%
3606,rural,471,213,258,54.78%
7592,rural,558,210,348,62.37%
2021,urban,470,299,171,36.38%
3074,urban,153,75,78,50.98%
3016,urban,258,124,134,51.94%
3762,urban,408,204,204,50.00%
3373,rural,351,160,191,54.42%
2651,rural,407,180,227,55.77%
2469,rural,277,47,230,83.03%
2457,urban,360,135,225,62.50%
2473,rural,858,69,789,91.96%
2726,rural,721,87,634,87.93%
2770,rural,56,43,13,23.21%
2465,rural,706,225,481,68.13%
2682,rural,258,82,176,68.22%
7614,urban,420,161,259,61.67%
2711,rural,236,80,156,66.10%
2644,rural,288,84,204,70.83%
7059,urban,205,85,120,58.54%
1679,urban,168,70,98,58.33%
5533,urban,260,135,125,48.08%
2743,rural,669,355,314,46.94%
3055,rural,368,158,210,57.07%
6632,urban,125,51,74,59.20%
6468,urban,353,169,184,52.12%
3540,rural,53,10,43,81.13%
4022,urban,362,210,152,41.99%
3385,urban,167,67,100,59.88%
4529,urban,470,306,164,34.89%
2662,rural,346,144,202,58.38%
2051,rural,355,165,190,53.52%
6037,rural,308,142,166,53.90%
2700,rural,263,118,145,55.13%
2737,urban,210,158,52,24.76%
4501,urban,551,334,217,39.38%
3755,urban,243,118,125,51.44%
2654,rural,223,76,147,65.92%
2622,rural,192,60,132,68.75%
3557,rural,263,116,147,55.89%
2008,urban,452,203,249,55.09%
4583,urban,444,282,162,36.49%
2014,urban,441,276,165,37.41%
4506,urban,236,130,106,44.92%
3609,rural,178,79,99,55.62%
4586,urban,526,330,196,37.26%
4400,urban,531,333,198,37.29%
3565,rural,372,155,217,58.33%
5007,urban,346,212,134,38.73%
3758,urban,46,12,34,73.91%
2037,urban,442,169,273,61.76%
2695,rural,365,135,230,63.01%
3039,urban,289,167,122,42.21%
3735,rural,15,5,10,66.67%
3068,urban,141,73,68,48.23%
2752,urban,474,326,148,31.22%
2005,urban,339,154,185,54.57%
5581,urban,269,205,64,23.79%
7674,urban,170,67,103,60.59%
5554,urban,218,115,103,47.25%
4562,urban,255,174,81,31.76%
